Date,Predicted,Actual
1996-01-01,75,72
1996-01-02,66,67
1996-01-03,70,93
1996-01-04,107,103
1996-01-05,97,98
1996-01-06,103,103
1996-01-07,98,93
1996-01-08,132,123
1996-01-09,127,118
1996-01-10,68,67
1996-01-11,124,123
1996-01-12,111,108
1996-01-13,132,118
1996-01-14,83,67
1996-01-15,78,87
1996-01-16,59,51
1996-01-17,68,57
1996-01-18,66,62
1996-01-19,87,87
1996-01-20,120,123
1996-01-21,110,103
1996-01-22,128,118
1996-01-23,125,123
1996-01-24,118,118
1996-01-25,122,123
1996-01-26,119,118
1996-01-27,83,87
1996-01-28,120,123
1996-01-29,115,108
1996-01-30,84,82
1996-01-31,93,87
1996-02-01,77,82
1996-02-02,67,77
1996-02-03,77,82
1996-02-04,87,67
1996-02-05,99,118
1996-02-06,112,118
1996-02-07,91,87
1996-02-08,61,62
1996-02-09,115,103
1996-02-10,119,108
1996-02-11,117,108
1996-02-12,149,170
1996-02-13,188,180
1996-02-14,150,170
1996-02-15,103,98
1996-02-16,139,149
1996-02-17,152,165
1996-02-18,158,159
1996-02-19,201,206
1996-02-20,201,195
1996-02-21,146,134
1996-02-22,81,82
1996-02-23,91,103
1996-02-24,130,134
1996-02-25,124,123
1996-02-26,87,87
1996-02-27,47,46
1996-02-28,108,103
1996-02-29,90,82
1996-03-01,107,98
1996-03-02,83,77
1996-03-03,72,62
1996-03-04,87,77
1996-03-05,97,82
1996-03-06,83,98
1996-03-07,133,129
1996-03-08,107,98
1996-03-09,96,93
1996-03-10,79,72
1996-03-11,100,93
1996-03-12,101,93
1996-03-13,104,98
1996-03-14,119,123
1996-03-15,102,98
1996-03-16,86,77
1996-03-17,48,67
1996-03-18,49,41
1996-03-19,67,51
1996-03-20,68,67
1996-03-21,68,67
1996-03-22,63,57
1996-03-23,77,87
1996-03-24,78,82
1996-03-25,110,98
1996-03-26,145,144
1996-03-27,128,123
1996-03-28,134,118
1996-03-29,91,93
1996-03-30,119,108
1996-03-31,97,82
1996-04-01,89,93
1996-04-02,104,103
1996-04-03,118,113
1996-04-04,102,98
1996-04-05,92,87
1996-04-06,69,62
1996-04-07,59,46
1996-04-08,54,41
1996-04-09,49,41
1996-04-10,51,62
1996-04-11,87,98
1996-04-12,106,108
1996-04-13,90,87
1996-04-14,71,72
1996-04-15,49,41
1996-04-16,71,67
1996-04-17,91,87
1996-04-18,96,87
1996-04-19,74,62
1996-04-20,75,57
1996-04-21,88,82
1996-04-22,80,82
1996-04-23,118,118
1996-04-24,90,93
1996-04-25,86,82
1996-04-26,82,77
1996-04-27,73,67
1996-04-28,94,113
1996-04-29,73,82
1996-04-30,63,67
1996-05-01,75,72
1996-05-02,94,93
1996-05-03,139,129
1996-05-04,109,113
1996-05-05,64,57
1996-05-06,95,98
1996-05-07,133,134
1996-05-08,141,134
1996-05-09,154,149
1996-05-10,100,129
1996-05-11,78,77
1996-05-12,93,87
1996-05-13,84,77
1996-05-14,109,118
1996-05-15,123,129
1996-05-16,134,149
1996-05-17,93,103
1996-05-18,79,77
1996-05-19,86,87
1996-05-20,87,77
1996-05-21,82,72
1996-05-22,114,118
1996-05-23,130,123
1996-05-24,129,123
1996-05-25,106,98
1996-05-26,114,123
1996-05-27,127,134
1996-05-28,97,108
1996-05-29,123,118
1996-05-30,84,77
1996-05-31,115,113
1996-06-01,114,103
1996-06-02,61,62
1996-06-03,67,77
1996-06-04,77,82
1996-06-05,74,67
1996-06-06,57,51
1996-06-07,74,72
1996-06-08,90,77
1996-06-09,61,67
1996-06-10,78,72
1996-06-11,95,98
1996-06-12,111,103
1996-06-13,86,82
1996-06-14,101,98
1996-06-15,107,103
1996-06-16,69,67
1996-06-17,86,93
1996-06-18,104,98
1996-06-19,97,98
1996-06-20,96,93
1996-06-21,97,103
1996-06-22,123,123
1996-06-23,90,93
1996-06-24,102,103
1996-06-25,52,57
1996-06-26,51,51
1996-06-27,53,51
1996-06-28,107,98
1996-06-29,149,139
1996-06-30,121,118
1996-07-01,125,130
1996-07-02,112,110
1996-07-03,114,120
1996-07-04,167,160
1996-07-05,92,100
1996-07-06,89,80
1996-07-07,78,70
1996-07-08,110,110
1996-07-09,107,100
1996-07-10,109,110
1996-07-11,69,60
1996-07-12,63,70
1996-07-13,107,110
1996-07-14,90,100
1996-07-15,100,120
1996-07-16,117,120
1996-07-17,100,100
1996-07-18,86,80
1996-07-19,81,90
1996-07-20,72,70
1996-07-21,50,50
1996-07-22,66,70
1996-07-23,108,100
1996-07-24,159,160
1996-07-25,130,160
1996-07-26,52,50
1996-07-27,83,80
1996-07-28,57,60
1996-07-29,67,70
1996-07-30,88,90
1996-07-31,96,90
1996-08-01,103,100
1996-08-02,68,70
1996-08-03,55,50
1996-08-04,73,70
1996-08-05,89,90
1996-08-06,118,100
1996-08-07,105,100
1996-08-08,67,60
1996-08-09,67,60
1996-08-10,71,70
1996-08-11,47,50
1996-08-12,99,110
1996-08-13,139,140
1996-08-14,81,80
1996-08-15,85,80
1996-08-16,40,40
1996-08-17,59,50
1996-08-18,72,60
1996-08-19,81,90
1996-08-20,83,90
1996-08-21,69,60
1996-08-22,73,70
1996-08-23,119,130
1996-08-24,121,120
1996-08-25,121,110
1996-08-26,78,80
1996-08-27,51,40
1996-08-28,167,170
1996-08-29,151,140
1996-08-30,132,140
1996-08-31,117,120
1996-09-01,82,70
1996-09-02,50,40
1996-09-03,96,100
1996-09-04,90,100
1996-09-05,113,130
1996-09-06,89,90
1996-09-07,67,70
1996-09-08,75,70
1996-09-09,100,100
1996-09-10,120,120
1996-09-11,103,100
1996-09-12,168,170
1996-09-13,169,160
1996-09-14,118,110
1996-09-15,65,80
1996-09-16,65,70
1996-09-17,92,90
1996-09-18,117,120
1996-09-19,120,120
1996-09-20,105,100
1996-09-21,102,100
1996-09-22,101,100
1996-09-23,50,50
1996-09-24,48,40
1996-09-25,64,60
1996-09-26,107,100
1996-09-27,120,110
1996-09-28,112,110
1996-09-29,170,160
1996-09-30,124,140
1996-10-01,84,80
1996-10-02,50,50
1996-10-03,134,140
1996-10-04,126,110
1996-10-05,121,100
1996-10-06,74,70
1996-10-07,67,60
1996-10-08,47,40
1996-10-09,78,110
1996-10-10,69,90
1996-10-11,71,80
1996-10-12,84,80
1996-10-13,77,90
1996-10-14,97,90
1996-10-15,95,90
1996-10-16,63,60
1996-10-17,49,40
1996-10-18,129,120
1996-10-19,131,120
1996-10-20,119,120
1996-10-21,129,140
1996-10-22,65,60
1996-10-23,82,100
1996-10-24,80,80
1996-10-25,86,80
1996-10-26,100,100
1996-10-27,156,150
1996-10-28,155,180
1996-10-29,201,180
1996-10-30,126,120
1996-10-31,149,120
1996-11-01,133,140
1996-11-02,148,150
1996-11-03,139,140
1996-11-04,159,150
1996-11-05,177,180
1996-11-06,190,180
1996-11-07,136,140
1996-11-08,94,90
1996-11-09,136,130
1996-11-10,127,120
1996-11-11,110,120
1996-11-12,103,160
1996-11-13,145,160
1996-11-14,63,90
1996-11-15,67,70
1996-11-16,49,70
1996-11-17,111,100
1996-11-18,141,160
1996-11-19,160,160
1996-11-20,161,160
1996-11-21,152,150
1996-11-22,149,150
1996-11-23,117,100
1996-11-24,129,150
1996-11-25,149,150
1996-11-26,139,120
1996-11-27,72,70
1996-11-28,80,70
1996-11-29,163,160
1996-11-30,148,130
1996-12-01,144,140
1996-12-02,173,170
1996-12-03,162,160
1996-12-04,125,120
1996-12-05,61,60
1996-12-06,57,60
1996-12-07,59,60
1996-12-08,45,50
1996-12-09,48,50
1996-12-10,52,50
1996-12-11,43,40
1996-12-12,57,70
1996-12-13,95,100
1996-12-14,127,130
1996-12-15,131,130
1996-12-16,63,60
1996-12-17,48,50
1996-12-18,79,70
1996-12-19,98,80
1996-12-20,115,110
1996-12-21,114,110
1996-12-22,113,110
1996-12-23,144,140
1996-12-24,122,120
1996-12-25,93,90
1996-12-26,71,80
1996-12-27,103,90
1996-12-28,88,90
1996-12-29,113,120
1996-12-30,123,130
1996-12-31,119,120
1997-01-01,119,110
1997-01-02,68,80
1997-01-03,107,120
1997-01-04,110,110
1997-01-05,111,120
1997-01-06,75,70
1997-01-07,75,80
1997-01-08,71,70
1997-01-09,73,80
1997-01-10,62,50
1997-01-11,76,70
1997-01-12,82,80
1997-01-13,90,80
1997-01-14,68,60
1997-01-15,63,60
1997-01-16,67,70
1997-01-17,100,90
1997-01-18,86,100
1997-01-19,79,80
1997-01-20,75,90
1997-01-21,83,80
1997-01-22,108,90
1997-01-23,84,80
1997-01-24,45,30
1997-01-25,44,40
1997-01-26,58,60
1997-01-27,74,70
1997-01-28,41,40
1997-01-29,45,40
1997-01-30,37,40
1997-01-31,49,50
1997-02-01,57,50
1997-02-02,76,70
1997-02-03,87,100
1997-02-04,161,150
1997-02-05,81,80
1997-02-06,116,110
1997-02-07,120,120
1997-02-08,73,80
1997-02-09,118,120
1997-02-10,155,150
1997-02-11,149,140
1997-02-12,156,150
1997-02-13,162,160
1997-02-14,104,120
1997-02-15,85,80
1997-02-16,114,110
1997-02-17,119,140
1997-02-18,153,150
1997-02-19,183,190
1997-02-20,160,180
1997-02-21,167,170
1997-02-22,108,110
1997-02-23,132,150
1997-02-24,175,180
1997-02-25,189,200
1997-02-26,157,150
1997-02-27,106,110
1997-02-28,127,130
1997-03-01,104,100
1997-03-02,148,150
1997-03-03,66,60
1997-03-04,90,90
1997-03-05,87,80
1997-03-06,95,90
1997-03-07,76,70
1997-03-08,51,50
1997-03-09,70,70
1997-03-10,54,50
1997-03-11,56,50
1997-03-12,77,80
1997-03-13,102,110
1997-03-14,102,90
1997-03-15,99,90
1997-03-16,106,100
1997-03-17,72,90
1997-03-18,110,110
1997-03-19,139,130
1997-03-20,107,90
1997-03-21,134,120
1997-03-22,56,80
1997-03-23,101,110
1997-03-24,48,40
1997-03-25,67,50
1997-03-26,144,150
1997-03-27,144,170
1997-03-28,164,190
1997-03-29,128,120
1997-03-30,68,70
1997-03-31,69,70
1997-04-01,59,50
1997-04-02,41,40
1997-04-03,123,120
1997-04-04,146,140
1997-04-05,140,130
1997-04-06,110,120
1997-04-07,60,80
1997-04-08,60,60
1997-04-09,45,50
1997-04-10,54,50
1997-04-11,151,150
1997-04-12,123,110
1997-04-13,75,70
1997-04-14,116,120
1997-04-15,129,120
1997-04-16,98,80
1997-04-17,104,100
1997-04-18,101,100
1997-04-19,134,140
1997-04-20,116,120
1997-04-21,71,100
1997-04-22,92,80
1997-04-23,89,70
1997-04-24,127,120
1997-04-25,83,70
1997-04-26,76,70
1997-04-27,62,70
1997-04-28,140,140
1997-04-29,133,130
1997-04-30,74,100
1997-05-01,49,40
1997-05-02,59,50
1997-05-03,59,60
1997-05-04,140,120
1997-05-05,109,110
1997-05-06,143,140
1997-05-07,97,100
1997-05-08,141,140
1997-05-09,132,130
1997-05-10,119,110
1997-05-11,94,100
1997-05-12,104,100
1997-05-13,68,60
1997-05-14,58,60
1997-05-15,107,100
1997-05-16,85,90
1997-05-17,63,60
1997-05-18,68,110
1997-05-19,51,50
1997-05-20,55,50
1997-05-21,129,130
1997-05-22,96,110
1997-05-23,107,100
1997-05-24,111,120
1997-05-25,105,110
1997-05-26,75,80
1997-05-27,110,110
1997-05-28,115,110
1997-05-29,68,60
1997-05-30,81,80
1997-05-31,103,110
1997-06-01,141,150
1997-06-02,120,110
1997-06-03,99,100
1997-06-04,89,70
1997-06-05,99,100
1997-06-06,80,70
1997-06-07,97,90
1997-06-08,112,100
1997-06-09,84,80
1997-06-10,89,80
1997-06-11,100,90
1997-06-12,85,90
1997-06-13,72,70
1997-06-14,101,100
1997-06-15,78,70
1997-06-16,111,120
1997-06-17,107,110
1997-06-18,62,70
1997-06-19,82,70
1997-06-20,110,110
1997-06-21,125,120
1997-06-22,132,130
1997-06-23,144,140
1997-06-24,105,100
1997-06-25,102,100
1997-06-26,79,90
1997-06-27,83,80
1997-06-28,90,90
1997-06-29,145,150
1997-06-30,138,130
1997-07-01,92,100
1997-07-02,108,100
1997-07-03,92,90
1997-07-04,67,60
1997-07-05,94,90
1997-07-06,82,70
1997-07-07,54,60
1997-07-08,77,70
1997-07-09,94,100
1997-07-10,102,100
1997-07-11,54,60
1997-07-12,55,50
1997-07-13,57,50
1997-07-14,78,60
1997-07-15,71,70
1997-07-16,89,90
1997-07-17,79,100
1997-07-18,128,120
1997-07-19,111,110
1997-07-20,96,100
1997-07-21,90,90
1997-07-22,101,110
1997-07-23,52,40
1997-07-24,71,60
1997-07-25,119,130
1997-07-26,104,130
1997-07-27,119,130
1997-07-28,77,80
1997-07-29,62,70
1997-07-30,74,70
1997-07-31,120,120
1997-08-01,90,110
1997-08-02,75,80
1997-08-03,97,100
1997-08-04,100,100
1997-08-05,95,80
1997-08-06,107,110
1997-08-07,100,100
1997-08-08,75,60
1997-08-09,51,50
1997-08-10,77,70
1997-08-11,85,100
1997-08-12,68,70
1997-08-13,80,80
1997-08-14,82,80
1997-08-15,57,60
1997-08-16,73,70
1997-08-17,69,60
1997-08-18,72,60
1997-08-19,68,70
1997-08-20,71,70
1997-08-21,59,70
1997-08-22,83,80
1997-08-23,67,70
1997-08-24,66,60
1997-08-25,103,100
1997-08-26,70,60
1997-08-27,86,80
1997-08-28,109,120
1997-08-29,146,130
1997-08-30,115,100
1997-08-31,91,90
1997-09-01,109,90
1997-09-02,48,40
1997-09-03,72,70
1997-09-04,80,80
1997-09-05,71,70
1997-09-06,101,110
1997-09-07,111,110
1997-09-08,112,110
1997-09-09,118,120
1997-09-10,104,120
1997-09-11,94,110
1997-09-12,131,120
1997-09-13,139,150
1997-09-14,119,140
1997-09-15,104,110
1997-09-16,80,80
1997-09-17,77,80
1997-09-18,67,70
1997-09-19,79,80
1997-09-20,66,70
1997-09-21,66,60
1997-09-22,72,80
1997-09-23,96,100
1997-09-24,58,60
1997-09-25,76,70
1997-09-26,91,90
1997-09-27,64,70
1997-09-28,63,60
1997-09-29,40,40
1997-09-30,69,70
1997-10-01,113,120
1997-10-02,127,120
1997-10-03,95,90
1997-10-04,103,100
1997-10-05,91,90
1997-10-06,85,80
1997-10-07,142,150
1997-10-08,151,160
1997-10-09,160,160
1997-10-10,200,190
1997-10-11,141,150
1997-10-12,157,140
1997-10-13,160,150
1997-10-14,131,130
1997-10-15,91,80
1997-10-16,75,90
1997-10-17,86,90
1997-10-18,75,70
1997-10-19,52,50
1997-10-20,127,130
1997-10-21,88,90
1997-10-22,62,60
1997-10-23,105,100
1997-10-24,112,120
1997-10-25,125,110
1997-10-26,52,50
1997-10-27,90,80
1997-10-28,81,80
1997-10-29,63,60
1997-10-30,64,60
1997-10-31,88,100
1997-11-01,46,50
1997-11-02,47,50
1997-11-03,95,90
1997-11-04,106,100
1997-11-05,97,90
1997-11-06,96,90
1997-11-07,132,110
1997-11-08,134,130
1997-11-09,122,120
1997-11-10,132,130
1997-11-11,122,130
1997-11-12,48,50
1997-11-13,92,90
1997-11-14,92,110
1997-11-15,101,110
1997-11-16,91,80
1997-11-17,111,110
1997-11-18,134,130
1997-11-19,131,130
1997-11-20,131,120
1997-11-21,90,90
1997-11-22,60,60
1997-11-23,65,60
1997-11-24,101,100
1997-11-25,83,70
1997-11-26,93,90
1997-11-27,99,100
1997-11-28,103,100
1997-11-29,92,90
1997-11-30,125,150
1997-12-01,89,100
1997-12-02,103,120
1997-12-03,113,110
1997-12-04,79,70
1997-12-05,103,90
1997-12-06,141,130
1997-12-07,102,110
1997-12-08,131,120
1997-12-09,117,120
1997-12-10,146,140
1997-12-11,133,130
1997-12-12,140,140
1997-12-13,90,90
1997-12-14,119,130
1997-12-15,123,120
1997-12-16,133,130
1997-12-17,143,140
1997-12-18,108,110
1997-12-19,103,130
1997-12-20,68,60
1997-12-21,109,100
1997-12-22,51,60
1997-12-23,96,100
1997-12-24,135,150
1997-12-25,154,150
1997-12-26,153,150
