Jaar,Voorspelling,Daadwerkelijk,Verschil,Foutpercentage
2003,895,944.0,-49.0,-5.190677966101695
2004,906,930.0,-24.0,-2.5806451612903225
2005,900,1007.0,-107.0,-10.625620655412115
2006,856,992.0,-136.0,-13.709677419354838
2007,914,1006.0,-92.0,-9.145129224652088
2008,905,969.0,-64.0,-6.604747162022703
2009,875,936.0,-61.0,-6.517094017094018
2010,905,873.0,32.0,3.6655211912943875
2011,882,947.0,-65.0,-6.863780359028511
2012,884,1003.0,-119.0,-11.864406779661017
2013,919,953.0,-34.0,-3.5676810073452256
2014,939,930.0,9.0,0.967741935483871
2015,927,901.0,26.0,2.885682574916759
2016,909,877.0,32.0,3.6488027366020526
2017,922,855.0,67.0,7.83625730994152
2018,874,849.0,25.0,2.944640753828033
2019,775,851.0,-76.0,-8.930669800235018
2020,816,841.0,-25.0,-2.972651605231867
2021,812,,,
