jaar,punt1,punt2,punt3,stormdagen,windkracht7,windkracht8,windkracht9,windkracht10,windkracht11,windkracht12,neerslag
2003,944,850,877,30,26,4,0,0,0,0,637.5
2004,930,836,867,53,45,7,1,0,0,0,840.8
2005,1007,861,891,35,32,1,2,0,0,0,794.7
2006,992,858,920,44,41,3,0,0,0,0,883.5
2007,1006,887,922,61,54,6,1,0,0,0,892.6
2008,969,961,995,52,42,7,3,0,0,0,869.8
2009,936,831,897,41,40,1,0,0,0,0,746.2
2010,873,827,849,39,31,8,0,0,0,0,850.8
2011,947,946,1067,47,41,5,1,0,0,0,897.9
2012,1003,949,1065,55,46,9,0,0,0,0,994
2013,953,917,1060,63,54,6,3,0,0,0,886.4
2014,930,888,1034,57,46,9,2,0,0,0,804.4
2015,901,850,1013,67,52,11,4,0,0,0,891.3
2016,877,830,985,56,42,11,3,0,0,0,865.8
2017,855,822,978,67,52,13,2,0,0,0,956.3
2018,849,808,951,40,32,6,1,0,1,0,700.9
2019,851,803,937,46,41,5,0,0,0,0,929.3
2020,841,800,924,66,56,8,2,0,0,0,985.3
